customer_id,recency_days,frequency,monetary_value,avg_order_value,payment_method,total_returns,return_rate,total_sessions,active_days,engagement_score,total_tickets,avg_resolution_days,open_tickets,top_category,top_brand
000f8432-1236-4c8e-af82-80b824ebacd9,212,4,1739.75,434.94,Cash,0,0.0,2,2,0,0,0.0,0,Home,Coleman-Wang
0061a414-3fea-40dd-9bf7-e35e8eac931f,29,2,508.26,254.13,UPI,0,0.0,2,2,0,0,0.0,0,Clothing,"Gibson, Robinson and Moore"
0061a414-3fea-40dd-9bf7-e35e8eac931f,29,2,508.26,254.13,Wallet,0,0.0,2,2,0,0,0.0,0,Clothing,"Gibson, Robinson and Moore"
006cf236-8150-457a-815b-0017d356d868,243,3,2854.94,951.65,UPI,0,0.0,3,3,0,0,0.0,0,Clothing,Fischer Group
00c00081-3d80-40f3-a2ba-22491aca1957,203,5,3219.4400000000005,643.89,Cash,0,0.0,7,7,0,1,0.0,1,Home,Becker-Jones
00d076dd-2829-4585-99d3-a53f9739efc6,77,3,1784.22,594.74,Credit Card,1,0.33,2,2,0,0,0.0,0,Grocery,Gonzalez-Hamilton
00d076dd-2829-4585-99d3-a53f9739efc6,77,3,1784.22,594.74,Credit Card,1,0.33,2,2,0,0,0.0,0,Grocery,Gonzalez-Hamilton
00d076dd-2829-4585-99d3-a53f9739efc6,77,3,1784.22,594.74,UPI,1,0.33,2,2,0,0,0.0,0,Grocery,Gonzalez-Hamilton
00d076dd-2829-4585-99d3-a53f9739efc6,77,3,1784.22,594.74,UPI,1,0.33,2,2,0,0,0.0,0,Grocery,Gonzalez-Hamilton
00d076dd-2829-4585-99d3-a53f9739efc6,77,3,1784.22,594.74,Cash,1,0.33,2,2,0,0,0.0,0,Grocery,Gonzalez-Hamilton
00d076dd-2829-4585-99d3-a53f9739efc6,77,3,1784.22,594.74,Credit Card,1,0.33,2,2,0,0,0.0,0,Grocery,Gonzalez-Hamilton
00d076dd-2829-4585-99d3-a53f9739efc6,77,3,1784.22,594.74,UPI,1,0.33,2,2,0,0,0.0,0,Grocery,Gonzalez-Hamilton
00d076dd-2829-4585-99d3-a53f9739efc6,77,3,1784.22,594.74,Cash,1,0.33,2,2,0,0,0.0,0,Grocery,Gonzalez-Hamilton
00d076dd-2829-4585-99d3-a53f9739efc6,77,3,1784.22,594.74,Cash,1,0.33,2,2,0,0,0.0,0,Grocery,Gonzalez-Hamilton
00ec4952-8eaf-486d-adc0-1576812ec841,72,5,2900.8999999999996,580.18,UPI,0,0.0,1,1,0,3,22.0,1,Grocery,"Ward, Burke and Smith"
00ec4952-8eaf-486d-adc0-1576812ec841,72,5,2900.8999999999996,580.18,Credit Card,0,0.0,1,1,0,3,22.0,1,Grocery,"Ward, Burke and Smith"
01218736-776d-4901-a398-fd78d8e10e9c,117,5,2832.88,566.58,UPI,0,0.0,3,3,0,0,0.0,0,Electronics,"Copeland, Stark and Rangel"
01236992-da19-4023-8ba3-e1da730bef78,436,2,1821.69,910.85,UPI,0,0.0,2,2,0,0,0.0,0,Clothing,"Fuller, Franklin and Francis"
01b70b01-be35-4522-81ef-ff528404ed99,119,5,3559.13,711.83,Credit Card,0,0.0,4,4,0,2,0.0,2,Grocery,Williams-Carr
01b70b01-be35-4522-81ef-ff528404ed99,119,5,3559.13,711.83,Wallet,0,0.0,4,4,0,2,0.0,2,Grocery,Williams-Carr
01e986dd-958b-4576-b545-e39d8e72a717,45,5,2857.7599999999998,571.55,Wallet,0,0.0,1,1,0,0,0.0,0,Grocery,"Marquez, Kelly and Duffy"
01e986dd-958b-4576-b545-e39d8e72a717,45,5,2857.7599999999998,571.55,Credit Card,0,0.0,1,1,0,0,0.0,0,Grocery,"Marquez, Kelly and Duffy"
021ea12f-12e3-432f-8653-4fde1dc51108,61,4,1973.4099999999999,493.35,Credit Card,0,0.0,2,2,0,0,0.0,0,Clothing,"Christensen, Hayes and Thompson"
02393230-19c2-4071-9e3b-583eca066dda,0,7,3098.44,442.63,UPI,0,0.0,0,0,0,1,0.0,1,Home,Cortez Inc
0248d251-6d8b-4b8c-be6d-086aa69bc4b0,118,6,4491.11,748.52,UPI,0,0.0,4,4,0,0,0.0,0,Grocery,Wilson-Potter
0248d251-6d8b-4b8c-be6d-086aa69bc4b0,118,6,4491.11,748.52,Cash,0,0.0,4,4,0,0,0.0,0,Grocery,Wilson-Potter
0265181e-8b3b-4b8e-adcf-b157725e9b83,42,7,6194.360000000001,884.91,Credit Card,0,0.0,2,2,0,0,0.0,0,Clothing,Wallace PLC
0265181e-8b3b-4b8e-adcf-b157725e9b83,42,7,6194.360000000001,884.91,UPI,0,0.0,2,2,0,0,0.0,0,Clothing,Wallace PLC
02729f5b-54bc-468b-9ce4-d440a3df7d08,227,3,2005.2599999999998,668.42,UPI,0,0.0,2,2,0,1,23.0,1,Sports,Romero-Tran
029e89ba-23bc-48b0-b119-78d59451934b,3,7,4747.37,678.2,Wallet,1,0.14,4,4,0,0,0.0,0,Grocery,Jackson LLC
02bc3b89-dad0-481d-9020-f2fca1fb08f2,88,6,1936.3,322.72,UPI,0,0.0,3,3,0,1,8.0,1,Clothing,"Compton, Cordova and Martinez"
02cb12e7-f611-4218-8bc0-4a4bc1a0b712,197,8,2643.09,330.39,Wallet,0,0.0,4,4,0,0,0.0,0,Home,Jackson-Booker
02d59375-b061-444f-b150-6099592f4488,24,5,2004.45,400.89,Cash,0,0.0,0,0,0,2,5.0,1,Home,"Fernandez, Kennedy and Sawyer"
02d59375-b061-444f-b150-6099592f4488,24,5,2004.45,400.89,Wallet,0,0.0,0,0,0,2,5.0,1,Home,"Fernandez, Kennedy and Sawyer"
0321670f-fbd6-4fc1-9107-f4f99bf3a790,272,3,1907.91,635.97,Cash,0,0.0,1,1,0,0,0.0,0,Home,"Allen, Baker and Weaver"
0321670f-fbd6-4fc1-9107-f4f99bf3a790,272,3,1907.91,635.97,UPI,0,0.0,1,1,0,0,0.0,0,Home,"Allen, Baker and Weaver"
0321670f-fbd6-4fc1-9107-f4f99bf3a790,272,3,1907.91,635.97,Wallet,0,0.0,1,1,0,0,0.0,0,Home,"Allen, Baker and Weaver"
0341e346-3fe6-4276-b493-c90e8634c874,66,3,2231.33,743.78,Credit Card,0,0.0,2,2,0,0,0.0,0,Clothing,"Gonzalez, Knapp and Vasquez"
03507b89-e0fe-4fd1-b171-9f8cc0424a74,439,1,166.72,166.72,Cash,0,0.0,2,2,0,2,2.0,2,Sports,"Hanna, Atkinson and Miller"
037a42eb-8014-4c1c-a79c-bfbefd3b92e5,54,5,2304.09,460.82,UPI,0,0.0,2,2,0,2,0.0,2,Home,Moore-Burton
037a42eb-8014-4c1c-a79c-bfbefd3b92e5,54,5,2304.09,460.82,Wallet,0,0.0,2,2,0,2,0.0,2,Home,Moore-Burton
037b7be3-f0ff-45ec-be52-dd912a43a31e,345,5,2806.26,561.25,Wallet,0,0.0,4,4,0,0,0.0,0,Sports,"Harmon, Melton and Pham"
0394fc09-e7e5-423a-8eb6-0af71881ecda,8,4,3224.7400000000002,806.19,Credit Card,0,0.0,4,4,0,2,6.0,2,Home,"Hammond, Manning and Brooks"
03aef335-a7aa-4f24-a3b2-c14259a14fc7,355,8,3919.29,489.91,Cash,0,0.0,3,3,0,1,0.0,1,Sports,Turner and Sons
03fa76f4-02a6-434d-a16e-41283c79d22d,334,6,3675.1,612.52,UPI,1,0.17,0,0,0,0,0.0,0,Electronics,"Ward, Burke and Smith"
03fa76f4-02a6-434d-a16e-41283c79d22d,334,6,3675.1,612.52,UPI,1,0.17,0,0,0,0,0.0,0,Electronics,"Ward, Burke and Smith"
03fa76f4-02a6-434d-a16e-41283c79d22d,334,6,3675.1,612.52,Credit Card,1,0.17,0,0,0,0,0.0,0,Electronics,"Ward, Burke and Smith"
03fa76f4-02a6-434d-a16e-41283c79d22d,334,6,3675.1,612.52,Credit Card,1,0.17,0,0,0,0,0.0,0,Electronics,"Ward, Burke and Smith"
0403627f-cabb-4a10-828f-7ad34ca45e50,383,4,1677.53,419.38,UPI,0,0.0,5,5,0,0,0.0,0,Electronics,Chambers Ltd
0403627f-cabb-4a10-828f-7ad34ca45e50,383,4,1677.53,419.38,Wallet,0,0.0,5,5,0,0,0.0,0,Electronics,Chambers Ltd
047842e6-33e7-4e0c-b39f-b4ff990e676b,120,2,1846.83,923.42,Wallet,0,0.0,2,2,0,2,16.5,1,Sports,"Murphy, Fry and Martin"
047842e6-33e7-4e0c-b39f-b4ff990e676b,120,2,1846.83,923.42,UPI,0,0.0,2,2,0,2,16.5,1,Sports,"Murphy, Fry and Martin"
04abc5b6-edcd-4d78-8c7e-4e46d4e843e7,261,5,2626.51,525.3,Wallet,0,0.0,1,1,0,0,0.0,0,Sports,Sandoval Inc
056902e5-be87-454d-bdab-283b8b4e9b9b,370,2,537.9,268.95,UPI,0,0.0,4,4,0,2,0.0,2,Sports,Padilla PLC
056902e5-be87-454d-bdab-283b8b4e9b9b,370,2,537.9,268.95,Wallet,0,0.0,4,4,0,2,0.0,2,Sports,Padilla PLC
056a91a7-765b-437f-91c9-18affbfc5ec5,210,2,1530.84,765.42,UPI,0,0.0,9,9,0,0,0.0,0,Home,Cisneros Group
056a91a7-765b-437f-91c9-18affbfc5ec5,210,2,1530.84,765.42,Cash,0,0.0,9,9,0,0,0.0,0,Home,Cisneros Group
05777236-3067-4366-b308-510b51deaba0,230,5,3085.53,617.11,UPI,0,0.0,1,1,0,2,11.0,1,Clothing,"Johnson, Martinez and Whitaker"
05d73ca5-99e6-4b93-be46-7adcc19119b0,23,8,3952.2500000000005,494.03,UPI,0,0.0,1,1,0,3,4.0,2,Grocery,Washington and Sons
05e6ec8a-14ce-4a5b-bbd4-3d8a7f224d33,172,7,3274.3999999999996,467.77,Wallet,0,0.0,2,2,0,0,0.0,0,Clothing,"Lee, Robinson and Fitzgerald"
0606c51a-07c8-4090-b441-49cf102d91f9,74,3,1069.0700000000002,356.36,UPI,0,0.0,4,4,0,2,0.0,2,Sports,Spears-Gilbert
062a3857-eaf2-403d-8eef-2650058aec0c,222,7,1850.7600000000002,264.39,UPI,0,0.0,3,3,0,0,0.0,0,Grocery,Gonzalez-Hamilton
062a3857-eaf2-403d-8eef-2650058aec0c,222,7,1850.7600000000002,264.39,Credit Card,0,0.0,3,3,0,0,0.0,0,Grocery,Gonzalez-Hamilton
0665adfd-0d1a-416c-8fe6-e9eea36019f1,314,1,450.98,450.98,Credit Card,0,0.0,2,2,0,1,18.0,0,Sports,Holden and Sons
06698b3b-8bab-4b6b-ad63-9dc3d8a94561,208,4,1442.05,360.51,Cash,0,0.0,5,5,0,0,0.0,0,Electronics,"Nunez, Davis and Mccoy"
069b7c72-4484-4e9f-a70b-8396f85d76e2,106,3,2845.63,948.54,Wallet,0,0.0,4,4,0,3,19.0,3,Home,Peters Inc
069b7c72-4484-4e9f-a70b-8396f85d76e2,106,3,2845.63,948.54,Cash,0,0.0,4,4,0,3,19.0,3,Home,Peters Inc
069b7c72-4484-4e9f-a70b-8396f85d76e2,106,3,2845.63,948.54,UPI,0,0.0,4,4,0,3,19.0,3,Home,Peters Inc
074a5fdc-aa5a-4325-9301-c5444da451cb,326,4,2496.41,624.1,Wallet,0,0.0,5,5,0,2,13.0,1,Electronics,"Austin, Hart and Kim"
0776d970-5326-4715-b68b-e49a8a1d6d81,18,6,2380.7999999999997,396.8,Cash,0,0.0,3,3,0,2,2.0,2,Grocery,Wilson-Potter
083b5af7-7b39-4502-9403-3c735664bb89,23,7,3807.0299999999997,543.86,UPI,0,0.0,1,1,0,0,0.0,0,Grocery,Lewis-Coleman
0869c538-ceea-4726-9f24-eb62b1e3299d,21,10,8350.55,835.06,Wallet,1,0.1,2,2,0,2,23.0,2,Grocery,Shaw Inc
08d9c603-97a3-40c5-82aa-f1815930ed8a,35,5,2121.96,424.39,UPI,0,0.0,3,3,0,1,5.0,1,Home,Dennis-Valentine
09509c46-0575-4172-9c27-e631b813052d,23,9,5998.18,666.46,Wallet,0,0.0,2,2,0,1,27.0,0,Sports,Romero-Tran
09563716-ec91-4771-bb75-6018fa1dd496,96,7,5175.339999999999,739.33,Cash,1,0.14,3,3,0,0,0.0,0,Electronics,Chambers Ltd
09563716-ec91-4771-bb75-6018fa1dd496,96,7,5175.339999999999,739.33,Cash,1,0.14,3,3,0,0,0.0,0,Electronics,Chambers Ltd
09563716-ec91-4771-bb75-6018fa1dd496,96,7,5175.339999999999,739.33,Wallet,1,0.14,3,3,0,0,0.0,0,Electronics,Chambers Ltd
09563716-ec91-4771-bb75-6018fa1dd496,96,7,5175.339999999999,739.33,Wallet,1,0.14,3,3,0,0,0.0,0,Electronics,Chambers Ltd
09563716-ec91-4771-bb75-6018fa1dd496,96,7,5175.339999999999,739.33,UPI,1,0.14,3,3,0,0,0.0,0,Electronics,Chambers Ltd
09563716-ec91-4771-bb75-6018fa1dd496,96,7,5175.339999999999,739.33,Cash,1,0.14,3,3,0,0,0.0,0,Electronics,Chambers Ltd
09563716-ec91-4771-bb75-6018fa1dd496,96,7,5175.339999999999,739.33,Wallet,1,0.14,3,3,0,0,0.0,0,Electronics,Chambers Ltd
09563716-ec91-4771-bb75-6018fa1dd496,96,7,5175.339999999999,739.33,UPI,1,0.14,3,3,0,0,0.0,0,Electronics,Chambers Ltd
09563716-ec91-4771-bb75-6018fa1dd496,96,7,5175.339999999999,739.33,UPI,1,0.14,3,3,0,0,0.0,0,Electronics,Chambers Ltd
