return_id,transaction_id,customer_id,product_id,amount,return_reason,return_date
00020981-1408-4658-ab64-a18cc6d92f57,0510c4c1-1c5c-4e7e-9355-2679e67a7354,a9b80d62-0c73-42f2-934e-60b0bd32b501,P0172,125.3,Better price elsewhere,2024-05-22
000a3112-3f86-4b26-aa87-2f5148c6cc00,d3f7b9f2-b512-42ee-8f16-fca6c065f6a9,e21e87f3-0941-4097-a15f-7fdfe7d4b696,P0302,200.97,Defective item,2025-08-19
004d76c9-e322-4c34-bb82-916b41d46808,8a28d48d-a33a-40c3-b64e-957673e6b7ff,ecf117c4-512c-4102-ac49-71f0794476b1,P0135,720.78,Not as described,2025-07-05
005a698a-84b5-4928-9195-52b9fcc3857a,804a97b8-8b71-4046-8424-40e83428b278,77325d63-1e29-4d74-9ae9-3f5dec183383,P0142,1546.48,Changed mind,2025-01-18
0086ada0-e2a8-4f6d-91ff-1a19c00d5c1f,3edf34f5-b9b0-4224-87df-01a7e8fb2b9b,d8f08320-e470-412c-9c3b-8fe88f9b5bd2,P0495,306.73,Defective item,2024-02-02
011e1a8f-4c3c-42be-90aa-036ab82ade3b,3f4d2b7d-be24-4f98-a46a-e9eb9d3575ea,61f0a2d6-8cf8-4cbb-9c16-1c3314cd3673,P0331,250.02,Not as described,2025-03-31
012fe4b1-dbdf-43fc-8814-6c7153075eb5,a3fdd07b-9a6a-40d3-8e24-32f00971e003,3a3895b2-f0e8-492b-8665-4a8756d502a4,P0259,1136.44,Better price elsewhere,2025-05-21
015a2ae2-5dc3-4756-a1e6-0d15654c9bf8,9e23c5c6-8ffe-4476-b1cc-04efeafeed76,7b50c3ff-3a2c-4b9d-80d9-255868e1089e,P0015,1084.02,Changed mind,2023-12-14
01602ee8-becd-40f3-b4e7-2faceb661581,6ba5f3a3-5253-4eee-a2e8-9c534732754c,b147aa08-3de5-46f0-b91f-40ded425065f,P0468,548.76,Better price elsewhere,2023-12-17
018f71d4-b97a-499e-86ea-91789a7dbf5d,2ec769fb-3aeb-4590-ae5d-468674136c21,bd3e6054-c749-434b-b716-b90677e8adb5,P0443,55.92,Wrong product,2024-07-13
01e95d93-a254-4fa7-901c-c99a11ff1e62,48ca2ca2-7ff4-41b9-9342-ccb315cb62e4,6c48c3d0-a86a-4695-ba40-fbb23aff896a,P0450,459.6,Late delivery,2023-10-03
01ee74f2-e039-4bdc-97e5-c475665d78b2,b05ccbab-9722-45d4-9130-cf4b3b3d405c,0c43a573-af14-4f4c-8d4b-df79cde0d6ec,P0158,1825.85,Late delivery,2023-12-13
